3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",2/1/2011 0:00,20.8,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,2/1/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",2/2/2011 0:00,20.8,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,2/2/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",2/3/2011 0:00,20.8,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,2/3/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",2/4/2011 0:00,20.8,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,2/4/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",2/5/2011 0:00,20.8,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,2/5/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",2/6/2011 0:00,20.8,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,2/6/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",2/7/2011 0:00,20.8,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,2/7/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",2/8/2011 0:00,20.8,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,2/8/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",2/9/2011 0:00,20.8,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,2/9/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",2/10/2011 0:00,20.8,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,2/10/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",2/11/2011 0:00,20.8,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,2/11/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",2/12/2011 0:00,20.8,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,2/12/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",2/13/2011 0:00,20.8,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,2/13/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",2/14/2011 0:00,20.8,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,2/14/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",2/15/2011 0:00,20.8,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,2/15/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",2/16/2011 0:00,20.8,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,2/16/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",2/17/2011 0:00,20.8,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,2/17/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",2/18/2011 0:00,20.8,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,2/18/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",2/19/2011 0:00,20.8,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,2/19/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",2/20/2011 0:00,20.8,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,2/20/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",2/21/2011 0:00,20.8,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,2/21/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",2/22/2011 0:00,20.8,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,2/22/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",2/23/2011 0:00,20.8,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,2/23/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",2/24/2011 0:00,20.8,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,2/24/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",2/25/2011 0:00,20.8,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,2/25/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",2/26/2011 0:00,20.8,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,2/26/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",2/27/2011 0:00,20.8,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,2/27/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",2/28/2011 0:00,20.8,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,2/28/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",3/1/2011 0:00,20.8,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,3/1/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",3/2/2011 0:00,20.8,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,3/2/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",3/3/2011 0:00,20.8,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,3/3/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",3/4/2011 0:00,20.8,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,3/4/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",3/5/2011 0:00,20.8,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,3/5/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",3/6/2011 0:00,20.8,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,3/6/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",3/7/2011 0:00,20.6,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,3/7/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",3/8/2011 0:00,20.8,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,3/8/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",3/9/2011 0:00,20.8,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,3/9/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",3/10/2011 0:00,20.7,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,3/10/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",3/11/2011 0:00,20.6,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,3/11/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",3/12/2011 0:00,20.7,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,3/12/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",3/13/2011 0:00,20.8,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,3/13/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",3/14/2011 0:00,20.8,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,3/14/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",3/15/2011 0:00,20.7,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,3/15/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",3/16/2011 0:00,20.8,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,3/16/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",3/17/2011 0:00,20.8,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,3/17/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",3/18/2011 0:00,20.8,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,3/18/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",3/19/2011 0:00,20.8,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,3/19/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",3/20/2011 0:00,20.8,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,3/20/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",3/21/2011 0:00,20.8,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,3/21/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",3/22/2011 0:00,20.8,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,3/22/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",3/23/2011 0:00,20.8,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,3/23/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",3/24/2011 0:00,20.8,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,3/24/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",3/25/2011 0:00,20.8,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,3/25/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",3/26/2011 0:00,20.8,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,3/26/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",3/27/2011 0:00,20.8,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,3/27/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",3/28/2011 0:00,20.8,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,3/28/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",3/29/2011 0:00,20.8,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,3/29/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",3/30/2011 0:00,20.8,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,3/30/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",3/31/2011 0:00,20.8,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,3/31/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",4/1/2011 0:00,20.8,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,4/1/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",4/2/2011 0:00,20.8,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,4/2/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",4/3/2011 0:00,20.8,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,4/3/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",4/4/2011 0:00,20.8,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,4/4/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",4/5/2011 0:00,20.7,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,4/5/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",4/6/2011 0:00,20.7,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,4/6/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",4/7/2011 0:00,20.8,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,4/7/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",4/8/2011 0:00,20.8,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,4/8/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",4/9/2011 0:00,20.8,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,4/9/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",4/10/2011 0:00,20.8,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,4/10/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",4/11/2011 0:00,20.8,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,4/11/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",4/12/2011 0:00,20.8,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,4/12/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",4/13/2011 0:00,20.8,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,4/13/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",4/14/2011 0:00,20.8,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,4/14/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",4/15/2011 0:00,20.8,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,4/15/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",4/16/2011 0:00,20.7,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,4/16/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",4/17/2011 0:00,20.7,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,4/17/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",4/18/2011 0:00,20.8,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,4/18/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",4/19/2011 0:00,20.8,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,4/19/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",4/20/2011 0:00,20.8,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,4/20/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",4/21/2011 0:00,20.8,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,4/21/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",4/22/2011 0:00,20.8,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,4/22/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",4/23/2011 0:00,20.8,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,4/23/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",4/24/2011 0:00,20.8,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,4/24/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
3,"Jacobs Well Spg nr Wimberley, TX","Temperature, water, degrees Celsius",4/25/2011 0:00,20.8,unknown,Average,1,NWISDV:08170990,2,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,FALSE,-999999,-6,4/25/2011 6:00,30.03444444,-98.1261111,,nc,ADV,unknown,Unknown,Unknown
